"survived" "class" "sex" "age"
"1" 0 0 0 26.5957666091379
"2" 0 1 0 30.4410425052939
"3" 1 1 1 26.6005078621238
"4" 0 0 0 25.0158196561071
"5" 1 0 0 29.3255218759332
"6" 1 1 1 22.9741165542249
"7" 1 1 0 25.0118977707599
"8" 1 1 0 23.5216913160308
"9" 0 1 0 25.0479122887749
"10" 1 1 0 28.3183147538919
"11" 0 0 1 24.4210576717302
"12" 1 1 0 27.2275368031904
"13" 0 0 0 27.4898947614157
"14" 1 1 1 26.3678448267568
"15" 0 0 0 25.3237461302089
"16" 1 0 0 28.2974561175232
"17" 0 0 1 31.0002823303359
"18" 0 0 0 30.1385078330469
"19" 1 1 0 27.590005933953
"20" 1 1 0 26.23434454286
"21" 1 1 0 26.9482316989297
"22" 1 0 1 29.5514233388002
"23" 0 0 1 29.9591915038563
"24" 0 1 0 24.8513945102511
"25" 1 1 0 29.9748118677367
"26" 1 0 1 30.0269710093033
"27" 1 1 1 32.3734514058116
"28" 1 1 1 29.2898360021062
"29" 1 1 0 24.5109998911159
"30" 0 0 0 27.8665715675066
"31" 1 1 1 23.5640339319646
"32" 1 1 1 27.9809110217623
"33" 0 0 0 27.458569585358
"34" 0 0 1 22.2401458728435
"35" 0 1 0 28.4758427648897
"36" 1 1 1 22.2178291952095
"37" 0 0 0 20.0074896090355
"38" 1 0 1 24.4966081598718
"39" 0 0 1 25.631305787486
"40" 1 1 1 27.035855175361
"41" 1 1 1 25.4414109652990
"42" 1 0 0 25.6895128318097
"43" 1 1 0 24.7711619980619
"44" 0 0 1 32.0810705986683
"45" 1 0 0 28.8661505806709
"46" 0 1 0 27.2552333460719
"47" 0 0 1 30.3424684718369
"48" 1 1 1 29.0686177346298
"49" 1 1 0 24.678073708823
"50" 1 1 1 23.5686388814425
"51" 0 0 0 27.2656426251158
"52" 1 1 1 25.9489290934677
"53" 1 0 1 27.1900071679709
"54" 1 1 1 29.6098376189329
"55" 0 0 0 23.2078530305499
"56" 1 1 0 28.9621143320539
"57" 1 1 1 26.0685518997469
"58" 0 1 0 28.5975254087676
"59" 0 0 0 25.0128970021986
"60" 1 1 1 26.1985498804459
"61" 1 1 0 28.7747459950995
"62" 1 1 0 24.1343666420045
"63" 1 1 0 26.4082457486761
"64" 1 1 1 26.8108270469818
"65" 0 0 0 30.2920405949854
"66" 1 1 1 29.6563289411517
"67" 0 0 1 28.1899053409694
"68" 0 0 1 26.679108448474
"69" 1 1 1 30.2588295811864
"70" 0 0 0 24.7357694448335
"71" 0 1 1 26.4930374448685
"72" 1 1 0 24.034614981448
"73" 0 0 0 25.6930202584930
"74" 0 0 0 24.7487348518389
"75" 0 1 0 30.4550348108581
"76" 0 0 0 28.6748442839746
"77" 1 0 1 25.0877657788999
"78" 0 0 0 26.508634270904
"79" 0 0 1 24.4732319149368
"80" 1 0 0 27.4590217835434
"81" 1 1 1 24.7388338078694
"82" 1 1 0 29.0103437334326
"83" 1 0 1 26.4933058477331
"84" 0 1 0 23.7538466533384
"85" 1 1 0 25.4715264882357
"86" 1 0 1 26.7306173976343
"87" 0 0 0 23.2296737760694
"88" 1 1 1 26.7663110372563
"89" 1 0 1 27.2935834501036
"90" 0 0 1 24.7722882670361
"91" 0 0 1 27.4882577863386
"92" 1 1 0 23.7391031864050
"93" 0 0 0 22.6027282984313
"94" 1 0 1 28.2269564199207
"95" 1 1 1 29.0890911071131
"96" 1 1 1 23.1585464641488
"97" 1 0 1 28.2671606817413
"98" 0 0 1 26.1869589877384
"99" 1 0 1 28.3346140472294
"100" 1 0 0 28.9037157428592
"101" 0 0 0 24.2999985761985
"102" 0 0 1 22.0744839085420
"103" 0 0 0 26.0890210570637
"104" 0 0 1 26.1380725286659
"105" 1 1 1 24.6324247265833
"106" 0 0 1 27.3153578939726
"107" 1 1 1 21.7985788620244
"108" 0 0 1 26.2651424213309
"109" 1 1 1 35.2892386279737
"110" 1 1 1 25.5077636237884
"111" 0 1 0 23.6598629087967
"112" 0 1 0 26.7236531606386
"113" 0 1 0 25.9775048524607
"114" 0 1 1 28.1270495577194
"115" 1 0 1 24.3933025071040
"116" 0 0 1 24.6396622796872
"117" 1 1 0 27.4558678315719
"118" 0 0 0 21.3539308820483
"119" 1 0 0 25.6209281199343
"120" 0 1 1 29.2547462319579
"121" 1 0 1 22.8543346848582
"122" 1 0 1 32.1120833634676
"123" 1 1 1 21.7703473376356
"124" 0 0 1 31.2005275334087
"125" 1 1 1 22.1102154143278
"126" 1 1 1 24.5591271005370
"127" 1 0 0 27.7556104245771
"128" 0 0 0 30.2884973498341
"129" 0 0 0 24.1388295720210
"130" 1 0 1 25.5115161680661
"131" 1 1 1 23.8917893805120
"132" 0 1 0 30.6106714866133
"133" 1 1 1 23.2278505908511
"134" 0 0 0 27.7877457680899
"135" 1 0 1 26.2185680630142
"136" 0 1 0 28.4855602412107
"137" 0 0 1 23.3896267176153
"138" 0 1 0 26.3190632779460
"139" 1 1 1 31.3968383532226
"140" 0 0 0 27.5999932873454
"141" 0 0 1 28.3573428115066
"142" 0 0 0 27.1585425025843
"143" 0 0 0 26.3075296434314
"144" 0 0 1 22.3029649736454
"145" 0 0 1 29.2081663391245
"146" 0 0 1 23.7814115411796
"147" 1 0 1 25.3754443777334
"148" 1 0 1 22.6895194686794
"149" 1 1 0 23.8076708947769
"150" 1 1 0 24.2904350606471
"151" 0 0 1 27.5949996949752
"152" 1 1 0 26.2520749465627
"153" 1 1 0 21.985951938301
"154" 1 1 0 26.1836349625347
"155" 0 1 1 25.4919265614916
"156" 1 0 0 26.8264466694908
